threshold,precision,recall,f1
0.039924342,0.12299603174603174,1.0,0.21904980653348927
0.04056156,0.1229786305283835,0.9998386836586546,0.21901833987047173
0.043167066,0.12300059535622147,0.9998386836586546,0.21905317287792608
0.043220427,0.12301768453645079,0.9998386836586546,0.2190802728781054
0.04371661,0.12303722084367245,0.9998386836586546,0.21911125251862973
0.043717,0.12306164995532612,0.9998386836586546,0.21914998939235134
0.04390501,0.12308120023035526,0.9998386836586546,0.2191809887543136
0.044493202,0.1231007567181076,0.9998386836586546,0.21921199688740467
0.044816762,0.12311787374359381,0.9998386836586546,0.2192391362018528
0.045205627,0.12313499552994935,0.9998386836586546,0.21926628223704248
0.04613072,0.12315212207916071,0.9998386836586546,0.2192934349954705
0.046331104,0.12317170111287758,0.9998386836586546,0.2193244749551294
0.047110543,0.12318638947410264,0.9998386836586546,0.2193477606920348
0.04721046,0.12320597940603506,0.9998386836586546,0.21937881603378392
0.047798444,0.12322802552836153,0.9998386836586546,0.21941376380609176
0.04869909,0.12324027678358387,0.9998386836586546,0.21943318404682094
0.048906162,0.123250079541839,0.9998386836586546,0.21944872271476554
0.049176976,0.12325253047507308,0.9998386836586546,0.21945260772561273
0.05031552,0.12327459326146625,0.9998386836586546,0.21948757901427063
0.0508796,0.12328685377837009,0.9998386836586546,0.21950701232449643
0.051336452,0.12328930617441121,0.9998386836586546,0.21951089939949645
0.05280404,0.12329175866801934,0.9998386836586546,0.21951478661216509
0.053441353,0.12331138212999622,0.9998386836586546,0.2195458892704644
0.05429831,0.1233334659927568,0.9998386836586546,0.2195808902979286
0.054349974,0.12333592024356754,0.9998386836586546,0.21958477998988454
0.05476684,0.12333837459205604,0.9998386836586546,0.21958866981964825
0.05514249,0.12336046812491293,0.9998386836586546,0.21962368449007766
0.055506967,0.12338256957439185,0.9998386836586546,0.21965871032886725
0.056076437,0.12339730827426933,0.9998386836586546,0.21968206709534374
0.0579165,0.12341696535244923,0.9998386836586546,0.2197132171784144
0.05826142,0.12342679624024215,0.9998386836586546,0.21972879553290725
0.058548022,0.12344154550886277,0.9998386836586546,0.21975216720716487
0.058659237,0.12344400406301659,0.9998386836586546,0.21975606296959582
0.059141528,0.1234685949919321,0.9998386836586546,0.2197950281922934
0.059218034,0.12347597418120966,0.9998386836586546,0.21980672045374525
0.05947911,0.12349319572017772,0.9998386836586546,0.21983400723538632
0.05974903,0.12350796086324053,0.9998386836586546,0.21985740129809092
0.06003061,0.12351042206368817,0.9998386836586546,0.2198613007926245
0.0604486,0.12351288336222874,0.9998386836586546,0.21986520042548713
0.060517706,0.12351534475886808,0.9998386836586546,0.21986910019668607
0.06086076,0.123535039464243,0.9998386836586546,0.21990030334727015
0.060863353,0.12354981461547662,0.9998386836586546,0.21992371152291254
0.06101787,0.12356705675950477,0.9998386836586546,0.21995102736060476
0.061161015,0.12358183957091301,0.9998386836586546,0.21997444633711252
0.06139238,0.12359169674370377,0.9998386836586546,0.21999006175887278
0.061472744,0.1236064854516084,0.9998386836586546,0.2200134890488262
0.062287867,0.12361388113282808,0.9998386836586546,0.2200252045650254
0.06261148,0.12361634655657273,0.9998386836586546,0.22002911001435915
0.06265153,0.12361881207866289,0.9998386836586546,0.22003301560233884
0.06399036,0.12364593931414208,0.9998386836586546,0.22007598622286273
0.064101696,0.12365827381189896,0.9998386836586546,0.22009552387189443
0.0645461,0.1236730784579775,0.9998386836586546,0.2201189736302755
0.064573154,0.12369282350123732,0.9998386836586546,0.22015024774875178
0.06459348,0.12371010558671483,0.9998386836586546,0.22017761989323206
0.06550506,0.12372492264697076,0.9998386836586546,0.22020108714941142
0.06575454,0.12375456741808598,0.9998386836586546,0.22024803667227474
0.065832205,0.12375703845693063,0.9998386836586546,0.2202519500362283
0.06587807,0.12375950959445697,0.9998386836586546,0.22025586353924956
0.06604491,0.1237743384922616,0.9998386836586546,0.22027934747821315
0.06621408,0.12380153403643336,0.9998386836586546,0.22032241437514827
0.066500716,0.12382132012146396,0.9998386836586546,0.2203537463334631
0.0667404,0.12382379382679053,0.9998386836586546,0.22035766345484706
0.0667822,0.12383616383616383,0.9998386836586546,0.22037725115093543
0.06766895,0.12386338655848438,0.9998386836586546,0.22042035634249024
0.06768489,0.1238930977272273,0.9998386836586546,0.22046739942355795
0.067698814,0.12391291309302466,0.9998386836586546,0.2204987726349029
0.06794791,0.12394016957286834,0.9998386836586546,0.22054192538276315
0.067961,0.1239426480292759,0.9998386836586546,0.22054584919739828
0.06854626,0.12392512898452186,0.9996773673173093,0.2205141891288848
0.068961,0.12393256404615723,0.9996773673173093,0.22052595993005533
0.06950564,0.12393504259829607,0.9996773673173093,0.22052988380970034
0.070076875,0.12393752124957501,0.9996773673173093,0.2205338078289852
0.070161134,0.12394991599327947,0.9996773673173093,0.22055343002026817
0.070277005,0.1239747129196175,0.9996773673173093,0.2205926848801098
0.0704617,0.12397719315794739,0.9996773673173093,0.22059661113464635
0.070613824,0.12399207667220233,0.9996773673173093,0.22062017159722613
0.0706623,0.12400944528936204,0.9996773673173093,0.22064766516510245
0.07069741,0.12401192691761222,0.9996773673173093,0.22065159337705126
0.07071779,0.12403178351980465,0.9996773673173093,0.2206830241086316
0.07143383,0.12406158034874176,0.9996773673173093,0.22073018699891309
0.071713,0.1240764841325458,0.9996773673173093,0.22075377600436324
0.07174052,0.12408642197793396,0.9996773673173093,0.2207695048092086
0.07209013,0.12410878795161419,0.9996773673173093,0.2208049028164289
0.07210692,0.12411873097260054,0.9996773673173093,0.22082063890799383
0.07228789,0.12412867558689207,0.9996773673173093,0.22083637724264507
