model,accuracy,precision,recall,f1,roc_auc,pr_auc,cv_roc_auc_mean,cv_pr_auc_mean,cv_f1_mean,benchmark_rows
Random Forest,0.8282738095238096,0.38149005983400885,0.6376834973382803,0.47738663124207475,0.8148654966564678,0.4469882979573305,0.7961848803002086,0.41808095501965353,0.4537336483336225,60000
XGBoost,0.7676785714285714,0.3070187727654805,0.707049524116793,0.42813186813186815,0.8070460646529809,0.42179725795793177,0.7955912190660316,0.4062832367189135,0.4145012653586937,60000
SVC,0.8758333333333334,0.1958762886597938,0.0030650104855621876,0.006035578144853875,0.7686807806829175,0.37752838116566323,0.7256525187261719,0.32261298033616453,0.3698684193391075,20000
Gradient Boosting,0.8770634920634921,0.8,0.0006452653653815131,0.0012894906511927789,0.6328993059645525,0.24352785155132078,0.6404651568183047,0.24294617460526982,0.0010951408694149167,60000
Decision Tree,0.5591468253968254,0.1710742444152431,0.6720438780448459,0.27272429707701873,0.6573238412760631,0.23420290136685035,0.6557528669396521,0.22220336151538422,0.2713437967158479,60000
Logistic Regression,0.5708531746031746,0.16307101056860862,0.6023552185836425,0.25665876207169125,0.6179736995276447,0.1795686634101923,0.6207249666197133,0.17804817725666336,0.25489032518610116,60000
