feature,mean_abs_shap
cat__CITY_Kochi,0.0025399185
cat__Profession_Consultant,0.0025203675
cat__CITY_Mysore[7][8][9],0.002437558
cat__CITY_Shimoga,0.0023910638
cat__CITY_Muzaffarpur,0.002386688
cat__Profession_Surgeon,0.0023856848
cat__CITY_Jorhat,0.0023508435
cat__CITY_Warangal[11][12],0.0023480416
cat__CITY_Ghaziabad,0.002325894
cat__CITY_Karaikudi,0.0023159073
cat__CITY_Ramagundam[27],0.0023091757
cat__CITY_Gulbarga,0.0022812579
cat__CITY_Nadiad,0.0022611064
cat__CITY_Bettiah[33],0.0022598268
cat__CITY_Rampur,0.002230753
cat__Profession_Civil_servant,0.0022304442
cat__CITY_Danapur,0.0022001422
cat__CITY_Navi_Mumbai,0.0021962442
cat__CITY_Bhalswa_Jahangir_Pur,0.0021960284
cat__CITY_Jamalpur[36],0.0021955902
cat__CITY_Vijayanagaram,0.0021927038
cat__CITY_Gwalior,0.0021919694
cat__CITY_Tezpur,0.0021744678
cat__CITY_Kamarhati,0.0021601864
cat__CITY_Amaravati,0.0021508464
cat__CITY_Siwan[32],0.0021482138
cat__CITY_Fatehpur,0.0021467162
cat__CITY_Katihar,0.0021443511
cat__CITY_Latur,0.0021405397
cat__CITY_Bardhaman,0.002138438
cat__CITY_Kozhikode,0.0021229382
cat__CITY_Dibrugarh,0.0020976858
cat__CITY_Ahmedabad,0.0020709347
cat__CITY_Kulti,0.0020636802
cat__CITY_Saharsa[29],0.002038601
cat__CITY_Bulandshahr,0.002030169
cat__CITY_Pallavaram,0.0020299489
cat__Profession_Biomedical_Engineer,0.0020266895
cat__House_Ownership_norent_noown,0.0020230643
cat__CITY_Bhatpara,0.0020105606
cat__CITY_Howrah,0.002002852
cat__CITY_Chinsurah,0.0020019582
cat__CITY_Mahbubnagar,0.0019697277
cat__Profession_Chef,0.0019565616
cat__STATE_Delhi,0.0019388129
cat__CITY_Noida,0.0019336216
cat__CITY_Gangtok,0.0018682329
cat__CITY_Thanjavur,0.0018574516
cat__CITY_Machilipatnam,0.0018441913
cat__CITY_Pondicherry,0.001835703
cat__CITY_Nandyal,0.0018289564
cat__CITY_Kumbakonam,0.0018105257
cat__CITY_Raiganj,0.0018035817
cat__CITY_Madanapalle,0.0017927301
cat__CITY_Tinsukia,0.001792509
cat__CITY_Rohtak,0.00178427
cat__CITY_Mango,0.0017702937
cat__CITY_Kottayam,0.0017702017
cat__CITY_Akola,0.0017660463
cat__CITY_Indore,0.0017309405
cat__CITY_Muzaffarnagar,0.0017176501
cat__CITY_Malda,0.0017102066
cat__CITY_Panipat,0.0016945398
cat__CITY_Gandhidham,0.0016936451
cat__CITY_Ramgarh,0.001668485
cat__CITY_Rourkela,0.0016598285
cat__CITY_Ballia,0.0016406288
cat__CITY_Salem,0.0016250359
cat__CITY_Bahraich,0.0015901605
cat__CITY_Asansol,0.0015787215
cat__CITY_Katni,0.0015661949
cat__CITY_Kolhapur,0.0015584355
cat__CITY_Junagadh,0.0015565932
cat__CITY_Jalgaon,0.0015438177
cat__CITY_Madhyamgram,0.0015381117
cat__CITY_Udupi,0.0014847857
cat__CITY_Chandigarh_city,0.0014780436
cat__CITY_Agartala,0.0014765208
cat__CITY_Saharanpur,0.0014754686
cat__CITY_Moradabad,0.0014678794
cat__CITY_Davanagere,0.0014599004
cat__Profession_Civil_engineer,0.001456462
cat__Profession_Financial_Analyst,0.0014481306
cat__CITY_Guwahati,0.0014434677
cat__CITY_Faridabad,0.0014428857
cat__CITY_Shahjahanpur,0.0014428011
cat__CITY_Serampore,0.0014379
cat__CITY_Alappuzha,0.0014292488
cat__CITY_Hajipur[31],0.0014286228
cat__CITY_Bhusawal,0.0014160076
cat__CITY_Srinagar,0.0014126234
cat__CITY_Bhavnagar,0.001410495
cat__STATE_Telangana,0.0014070089
cat__CITY_Kurnool[18],0.0014028848
cat__CITY_Jabalpur,0.0013914985
cat__CITY_Kollam,0.0013876647
cat__CITY_Dindigul,0.00138574
cat__STATE_Chhattisgarh,0.0013660697
cat__CITY_Singrauli,0.0013583187
